NOC_2016,NOC_Title_2016,Change_Type,NOC_2021,NOC_Title_2021
3231,Opticians,"VC1 - Code Change, VC2 - Name Change",32100,opticians
3233,Licensed practical nurses,"VC1 - Code Change, VC2 - Name Change",32101,licensed practical nurses
3234,Paramedical occupations,"VC1 - Code Change, VC2 - Name Change",32102,paramedical occupations
3236,Massage therapists,"VC1 - Code Change, VC2 - Name Change",32201,massage therapists
3411,Dental assistants,"VC1 - Code Change, VC2 - Name Change",33100,dental assistants and dental laboratory assistants
3413,"Nurse aides, orderlies and patient service associates","VC1 - Code Change, VC2 - Name Change",33102,"nurse aides, orderlies and patient service associates"
4011,University professors and lecturers,"VC1 - Code Change, VC2 - Name Change",41200,university professors and lecturers
4012,Post-secondary teaching and research assistants,"VC1 - Code Change, VC2 - Name Change",41201,post-secondary teaching and research assistants
4021,College and other vocational instructors,"VC1 - Code Change, VC2 - Name Change",41210,college and other vocational instructors
4031,Secondary school teachers,"VC1 - Code Change, VC2 - Name Change",41220,secondary school teachers
4032,Elementary school and kindergarten teachers,"VC1 - Code Change, VC2 - Name Change",41221,elementary school and kindergarten teachers
4033,Educational counsellors,"VC1 - Code Change, VC2 - Name Change",41320,educational counsellors
4111,Judges,"VC1 - Code Change, VC2 - Name Change",41100,judges
4112,Lawyers and Quebec notaries,"VC1 - Code Change, VC2 - Name Change",41101,lawyers and quebec notaries
4152,Social workers,"VC1 - Code Change, VC2 - Name Change",41300,social workers
4154,Professional occupations in religion,"VC1 - Code Change, VC2 - Name Change",41302,religious leaders
4156,Employment counsellors,"VC1 - Code Change, VC2 - Name Change",41321,career development practitioners and career counsellors (except education)
4161,"Natural and applied science policy researchers, consultants and program officers","VC1 - Code Change, VC2 - Name Change",41400,"natural and applied science policy researchers, consultants and program officers"
4162,Economists and economic policy researchers and analysts,"VC1 - Code Change, VC2 - Name Change",41401,economists and economic policy researchers and analysts
4164,"Social policy researchers, consultants and program officers","VC1 - Code Change, VC2 - Name Change",41403,"social policy researchers, consultants and program officers"
4166,"Education policy researchers, consultants and program officers","VC1 - Code Change, VC2 - Name Change",41405,"education policy researchers, consultants and program officers"
4167,"Recreation, sports and fitness policy researchers, consultants and program officers","VC1 - Code Change, VC2 - Name Change",41406,"recreation, sports and fitness policy researchers, consultants and program officers"
4168,Program officers unique to government,"VC1 - Code Change, VC2 - Name Change",41407,program officers unique to government
4169,"Other professional occupations in social science, n.e.c.","VC1 - Code Change, VC2 - Name Change",41409,other professional occupations in social science
4211,Paralegal and related occupations,"VC1 - Code Change, VC2 - Name Change",42200,paralegals and related occupations
4212,Social and community service workers,"VC1 - Code Change, VC2 - Name Change",42201,social and community service workers
4214,Early childhood educators and assistants,"VC1 - Code Change, VC2 - Name Change",42202,early childhood educators and assistants
4215,Instructors of persons with disabilities,"VC1 - Code Change, VC2 - Name Change",42203,instructors of persons with disabilities
4216,Other instructors,"VC1 - Code Change, VC2 - Name Change",43109,other instructors
4217,Other religious occupations,"VC1 - Code Change, VC2 - Name Change",42204,religion workers
4312,Firefighters,"VC1 - Code Change, VC2 - Name Change",42101,firefighters
4411,Home child care providers,"VC1 - Code Change, VC2 - Name Change",44100,home child care providers
4421,Sheriffs and bailiffs,"VC1 - Code Change, VC2 - Name Change",43200,sheriffs and bailiffs
4422,Correctional service officers,"VC1 - Code Change, VC2 - Name Change",43201,correctional service officers
4423,"By-law enforcement and other regulatory officers, n.e.c.","VC1 - Code Change, VC2 - Name Change",43202,by-law enforcement and other regulatory officers
5111,Librarians,"VC1 - Code Change, VC2 - Name Change",51100,librarians
5112,Conservators and curators,"VC1 - Code Change, VC2 - Name Change",51101,conservators and curators
5113,Archivists,"VC1 - Code Change, VC2 - Name Change",51102,archivists
5122,Editors,"VC1 - Code Change, VC2 - Name Change",51110,editors
5123,Journalists,"VC1 - Code Change, VC2 - Name Change",51113,journalists
5125,"Translators, terminologists and interpreters","VC1 - Code Change, VC2 - Name Change",51114,"translators, terminologists and interpreters"
5131,"Producers, directors, choreographers and related occupations","VC1 - Code Change, VC2 - Name Change",51120,"producers, directors, choreographers and related occupations"
5132,"Conductors, composers and arrangers","VC1 - Code Change, VC2 - Name Change",51121,"conductors, composers and arrangers"
5133,Musicians and singers,"VC1 - Code Change, VC2 - Name Change",51122,musicians and singers
5134,Dancers,"VC1 - Code Change, VC2 - Name Change",53120,dancers
5135,Actors and comedians,"VC1 - Code Change, VC2 - Name Change",53121,"actors, comedians and circus performers"
5136,"Painters, sculptors and other visual artists","VC1 - Code Change, VC2 - Name Change",53122,"painters, sculptors and other visual artists"
5211,Library and public archive technicians,"VC1 - Code Change, VC2 - Name Change",52100,library and public archive technicians
5212,Technical occupations related to museums and art galleries,"VC1 - Code Change, VC2 - Name Change",53100,"registrars, restorers, interpreters and other occupations related to museum and art galleries"
5221,Photographers,"VC1 - Code Change, VC2 - Name Change",53110,photographers
5222,Film and video camera operators,"VC1 - Code Change, VC2 - Name Change",52110,film and video camera operators
5223,Graphic arts technicians,"VC1 - Code Change, VC2 - Name Change",52111,graphic arts technicians
5224,Broadcast technicians,"VC1 - Code Change, VC2 - Name Change",52112,broadcast technicians
5225,Audio and video recording technicians,"VC1 - Code Change, VC2 - Name Change",52113,audio and video recording technicians
5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts","VC1 - Code Change, VC2 - Name Change",52119,"other technical and coordinating occupations in motion pictures, broadcasting and the performing arts"
5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts","VC1 - Code Change, VC2 - Name Change",53111,"motion pictures, broadcasting, photography and performing arts assistants and operators"
5231,Announcers and other broadcasters,"VC1 - Code Change, VC2 - Name Change",52114,announcers and other broadcasters
5241,Graphic designers and illustrators,"VC1 - Code Change, VC2 - Name Change",52120,graphic designers and illustrators
5242,Interior designers and interior decorators,"VC1 - Code Change, VC2 - Name Change",52121,interior designers and interior decorators
5244,Artisans and craftspersons,"VC1 - Code Change, VC2 - Name Change",53124,artisans and craftspersons
5245,"Patternmakers - textile, leather and fur products","VC1 - Code Change, VC2 - Name Change",53125,"patternmakers - textile, leather and fur products"
5251,Athletes,"VC1 - Code Change, VC2 - Name Change",53200,athletes
5252,Coaches,"VC1 - Code Change, VC2 - Name Change",53201,coaches
5253,Sports officials and referees,"VC1 - Code Change, VC2 - Name Change",53202,sports officials and referees
5254,"Program leaders and instructors in recreation, sport and fitness","VC1 - Code Change, VC2 - Name Change",54100,"program leaders and instructors in recreation, sport and fitness"
6211,Retail sales supervisors,"VC1 - Code Change, VC2 - Name Change",62010,retail sales supervisors
6222,Retail and wholesale buyers,"VC1 - Code Change, VC2 - Name Change",62101,retail and wholesale buyers
6231,Insurance agents and brokers,"VC1 - Code Change, VC2 - Name Change",63100,insurance agents and brokers
6232,Real estate agents and salespersons,"VC1 - Code Change, VC2 - Name Change",63101,real estate agents and salespersons
6235,Financial sales representatives,"VC1 - Code Change, VC2 - Name Change",63102,financial sales representatives
6311,Food service supervisors,"VC1 - Code Change, VC2 - Name Change",62020,food service supervisors
6312,Executive housekeepers,"VC1 - Code Change, VC2 - Name Change",62021,executive housekeepers
6313,"Accommodation, travel, tourism and related services supervisors","VC1 - Code Change, VC2 - Name Change",62022,"accommodation, travel, tourism and related services supervisors"
6314,Customer and information services supervisors,"VC1 - Code Change, VC2 - Name Change",62023,customer and information services supervisors
6315,Cleaning supervisors,"VC1 - Code Change, VC2 - Name Change",62024,cleaning supervisors
6321,Chefs,"VC1 - Code Change, VC2 - Name Change",62200,chefs
6322,Cooks,"VC1 - Code Change, VC2 - Name Change",63200,cooks
6331,"Butchers, meat cutters and fishmongers - retail and wholesale","RC4.1 - Breakdown, VC1 - Code Change, VC2 - Name Change",63201,butchers - retail and wholesale
6332,Bakers,"VC1 - Code Change, VC2 - Name Change",63202,bakers
6341,Hairstylists and barbers,"VC1 - Code Change, VC2 - Name Change",63210,hairstylists and barbers
6342,"Tailors, dressmakers, furriers and milliners","VC1 - Code Change, VC2 - Name Change",64200,"tailors, dressmakers, furriers and milliners"
6343,Shoe repairers and shoemakers,"VC1 - Code Change, VC2 - Name Change",63220,shoe repairers and shoemakers
6344,"Jewellers, jewellery and watch repairers and related occupations","VC1 - Code Change, VC2 - Name Change",62202,"jewellers, jewellery and watch repairers and related occupations"
6345,Upholsterers,"VC1 - Code Change, VC2 - Name Change",63221,upholsterers
6346,Funeral directors and embalmers,"VC1 - Code Change, VC2 - Name Change",62201,funeral directors and embalmers
6421,Retail salespersons,"VC1 - Code Change, VC2 - Name Change",64100,retail salespersons and visual merchandisers
6511,Maîtres d'hôtel and hosts/hostesses,"VC1 - Code Change, VC2 - Name Change",64300,maîtres d'hôtel and hosts/hostesses
6512,Bartenders,"VC1 - Code Change, VC2 - Name Change",64301,bartenders
6513,Food and beverage servers,"VC1 - Code Change, VC2 - Name Change",65200,food and beverage servers
6521,Travel counsellors,"VC1 - Code Change, VC2 - Name Change",64310,travel counsellors
6522,Pursers and flight attendants,"VC1 - Code Change, VC2 - Name Change",64311,pursers and flight attendants
6523,Airline ticket and service agents,"VC1 - Code Change, VC2 - Name Change",64312,airline ticket and service agents
6524,"Ground and water transport ticket agents, cargo service representatives and related clerks","VC1 - Code Change, VC2 - Name Change",64313,"ground and water transport ticket agents, cargo service representatives and related clerks"
6525,Hotel front desk clerks,"VC1 - Code Change, VC2 - Name Change",64314,hotel front desk clerks
6531,Tour and travel guides,"VC1 - Code Change, VC2 - Name Change",64320,tour and travel guides
6532,Outdoor sport and recreational guides,"VC1 - Code Change, VC2 - Name Change",64322,outdoor sport and recreational guides
6533,Casino occupations,"VC1 - Code Change, VC2 - Name Change",64321,casino workers
6551,Customer services representatives - financial institutions,"VC1 - Code Change, VC2 - Name Change",64400,customer services representatives - financial institutions
6552,Other customer and information services representatives,"VC1 - Code Change, VC2 - Name Change",64409,other customer and information services representatives
6561,"Image, social and other personal consultants","VC1 - Code Change, VC2 - Name Change",64201,"image, social and other personal consultants"
6562,"Estheticians, electrologists and related occupations","VC1 - Code Change, VC2 - Name Change",63211,"estheticians, electrologists and related occupations"
6563,Pet groomers and animal care workers,"VC1 - Code Change, VC2 - Name Change",65220,pet groomers and animal care workers
6564,Other personal service occupations,"VC1 - Code Change, VC2 - Name Change",65229,other support occupations in personal services
6611,Cashiers,"VC1 - Code Change, VC2 - Name Change",65100,cashiers
6621,Service station attendants,"VC1 - Code Change, VC2 - Name Change",65101,service station attendants
