ER_Code,NOC_2016,NOC_2021,Low_Wage_2016,Median_Wage_2016,High_Wage_2016,Low_Wage_2020,Median_Wage_2020,High_Wage_2020,Low_Wage_2024,Median_Wage_2024,High_Wage_2024,Province,Region,NOC_Title_2021,Broad_Category_Code,TEER_Code,Major_Group_Code,Broad_Category_Name,TEER_Level_Name,Major_Group_Name
ER4710,0013,00012,29.62,52.31,72.12,32.0,53.78,62.5,61.54,86.54,127.18,Saskatchewan,Regina--Moose Mountain,"senior managers - financial, communications and other business services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER48,0013,00012,17.31,46.15,83.33,30.0,68.4,97.44,40.38,88.94,144.23,Alberta,Alberta,"senior managers - financial, communications and other business services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER4830,0013,00012,17.31,46.15,83.33,30.0,68.4,97.44,64.9,96.15,132.21,Alberta,Calgary,"senior managers - financial, communications and other business services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER4860,0013,00012,21.830751,45.997847,103.69607,48.08,72.12,100.0,36.54,80.13,137.03,Alberta,Edmonton,"senior managers - financial, communications and other business services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER59,0013,00012,18.0,48.6,74.52,31.25,64.1,96.15,53.85,98.56,144.23,British Columbia,British Columbia,"senior managers - financial, communications and other business services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER5910,0013,00012,20.0,42.195854,90.961463,31.25,64.1,96.15,60.44,90.77,134.62,British Columbia,Vancouver Island and Coast,"senior managers - financial, communications and other business services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER5920,0013,00012,23.08,48.08,72.12,30.0,64.1,96.15,48.08,101.92,144.23,British Columbia,Lower Mainland,"senior managers - financial, communications and other business services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER24,0015,00014,16.78,31.096165,73.908119,19.25,36.06,82.96,20.0,38.46,89.74,Quebec,Quebec,"senior managers - trade, broadcasting and other services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER2420,0015,00014,16.44,27.217213,58.953718,18.25,34.95,74.66,21.0,35.0,69.0,Quebec,Capitale-Nationale,"senior managers - trade, broadcasting and other services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER2435,0015,00014,16.0,34.254244,75.557254,19.25,36.06,82.96,22.0,43.59,97.44,Quebec,Montérégie,"senior managers - trade, broadcasting and other services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER2455,0015,00014,20.41,37.478762,74.957524,19.25,36.06,82.96,20.0,38.46,100.0,Quebec,Laurentides,"senior managers - trade, broadcasting and other services",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER48,0016,00015,30.35,58.17,95.0,27.61,58.48,106.9,25.0,56.41,115.38,Alberta,Alberta,"senior managers - construction, transportation, production and utilities",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER4830,0016,00015,30.35,57.44,95.0,32.78,68.23,113.62,26.67,68.29,126.67,Alberta,Calgary,"senior managers - construction, transportation, production and utilities",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER4860,0016,00015,30.35,58.17,95.0,26.72,52.94,93.0,30.77,56.41,102.56,Alberta,Edmonton,"senior managers - construction, transportation, production and utilities",0,0,00,0 - Legislative and senior management occupations,0 - Management occupations,Legislative and senior managers
ER00,0111,10010,21.15,40.87,64.29,26.54,48.08,71.43,36.06,57.44,89.56,National,Canada,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER10,0111,10010,20.51,42.0,57.69,26.44,43.48,72.12,36.06,56.1,77.95,Newfoundland and Labrador,Newfoundland and Labrador,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER1030,0111,10010,20.51,42.0,57.69,26.44,43.48,72.12,36.66,53.22,82.23,Newfoundland and Labrador,West Coast--Northern Peninsula--Labrador,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER1110,0111,10010,17.81,33.33,57.69,25.35,38.46,66.67,25.0,51.23,79.49,Prince Edward Island,Prince Edward Island,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER12,0111,10010,18.27,43.59,64.29,28.0,46.7,61.54,33.0,49.74,76.92,Nova Scotia,Nova Scotia,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER1250,0111,10010,20.88,47.12,64.29,33.97,52.88,61.54,38.46,50.9,76.92,Nova Scotia,Halifax,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER13,0111,10010,20.43,41.32,60.1,26.44,44.1,57.69,28.85,52.88,91.35,New Brunswick,New Brunswick,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER1320,0111,10010,20.43,41.32,60.1,30.29,44.87,48.72,28.85,52.88,91.35,New Brunswick,Moncton--Richibucto,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER1330,0111,10010,20.43,41.32,60.1,15.0,40.87,57.69,28.85,52.88,91.35,New Brunswick,Saint John--St. Stephen,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER1340,0111,10010,20.43,41.32,60.1,26.44,44.1,57.69,38.46,52.88,68.96,New Brunswick,Fredericton--Oromocto,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER24,0111,10010,20.69,37.02,57.69,26.92,41.76,67.87,36.0,57.69,82.05,Quebec,Quebec,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER2420,0111,10010,20.69,38.46,52.2,26.92,41.76,67.87,36.0,57.69,82.05,Quebec,Capitale-Nationale,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER2425,0111,10010,20.69,37.02,57.69,25.0,38.46,60.0,36.0,48.08,76.92,Quebec,Chaudière-Appalaches,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER2435,0111,10010,25.0,45.0,71.79,25.0,41.03,65.38,36.0,52.2,78.61,Quebec,Montérégie,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER2440,0111,10010,23.0,35.16,43.27,26.92,41.76,67.87,35.94,58.24,96.15,Quebec,Montréal,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER2445,0111,10010,20.69,37.02,57.69,26.92,41.76,67.87,31.87,58.97,86.54,Quebec,Laval,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER2450,0111,10010,20.69,37.02,57.69,26.92,41.76,67.87,36.0,57.69,82.05,Quebec,Lanaudière,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER2455,0111,10010,20.69,37.02,57.69,26.92,41.76,67.87,41.35,55.29,82.42,Quebec,Laurentides,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER2460,0111,10010,20.69,37.02,57.69,26.92,41.76,67.87,43.05,67.74,82.05,Quebec,Outaouais,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER2465,0111,10010,20.69,37.02,57.69,26.92,41.76,67.87,36.0,57.69,82.05,Quebec,Abitibi-Témiscamingue,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER35,0111,10010,23.08,43.75,70.51,26.32,49.04,71.0,36.06,57.69,94.87,Ontario,Ontario,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER3510,0111,10010,23.32,45.6,62.5,33.33,52.31,75.0,48.08,64.1,94.87,Ontario,Ottawa,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER3530,0111,10010,23.08,46.67,76.15,25.52,49.45,69.23,36.06,57.69,96.15,Ontario,Toronto,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER3540,0111,10010,24.0,43.59,58.97,24.04,43.27,74.52,29.33,57.69,96.15,Ontario,Kitchener--Waterloo--Barrie,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER46,0111,10010,22.0,36.06,60.1,22.0,45.67,65.87,29.74,49.52,81.73,Manitoba,Manitoba,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER4610,0111,10010,22.0,36.06,60.1,22.0,45.67,65.87,28.85,43.27,69.44,Manitoba,Southeast,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER4650,0111,10010,21.63,36.06,60.1,22.0,47.6,62.5,30.0,55.56,92.95,Manitoba,Winnipeg,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER47,0111,10010,28.0,43.27,60.46,35.1,52.88,72.31,33.05,54.98,82.0,Saskatchewan,Saskatchewan,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER4710,0111,10010,28.0,43.27,60.46,30.72,50.0,72.12,26.0,54.98,74.04,Saskatchewan,Regina--Moose Mountain,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER4730,0111,10010,28.0,43.27,60.46,45.19,53.47,74.52,36.92,56.73,92.31,Saskatchewan,Saskatoon--Biggar,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER48,0111,10010,23.08,45.07,72.65,32.0,52.46,88.94,37.5,59.48,96.15,Alberta,Alberta,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER4830,0111,10010,21.0,45.67,81.73,31.32,56.25,96.15,45.67,60.1,85.63,Alberta,Calgary,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER4860,0111,10010,27.2,41.15,56.04,38.0,52.88,82.05,37.02,53.65,96.15,Alberta,Edmonton,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER4870,0111,10010,25.0,45.06,73.07,35.3,50.0,81.73,37.5,59.48,96.15,Alberta,Athabasca--Grande Prairie--Peace River,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER59,0111,10010,18.97,39.9,62.5,25.0,44.23,67.31,37.44,55.56,91.76,British Columbia,British Columbia,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER5920,0111,10010,18.0,40.87,67.31,24.04,44.0,67.31,39.06,57.69,89.56,British Columbia,Lower Mainland,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER5950,0111,10010,18.97,39.9,62.5,25.64,42.31,50.55,42.2,55.56,97.6,British Columbia,Cariboo,financial managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER00,0112,10011,22.0,40.0,62.5,25.71,47.69,70.64,36.06,56.25,84.43,National,Canada,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER10,0112,10011,32.05,41.03,66.67,28.85,44.97,72.0,34.29,48.08,66.67,Newfoundland and Labrador,Newfoundland and Labrador,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER1110,0112,10011,22.56,38.46,59.35,28.85,44.97,72.0,25.0,50.0,64.62,Prince Edward Island,Prince Edward Island,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER12,0112,10011,23.08,38.46,53.67,28.85,42.05,57.44,38.08,48.72,72.25,Nova Scotia,Nova Scotia,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER1210,0112,10011,23.08,38.46,53.67,28.85,42.05,57.44,38.08,48.72,72.25,Nova Scotia,Cape Breton,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER1220,0112,10011,23.08,38.46,53.67,28.85,42.05,57.44,38.08,48.72,72.25,Nova Scotia,North Shore,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER1250,0112,10011,23.08,40.0,57.69,28.85,46.82,60.0,38.08,47.18,71.28,Nova Scotia,Halifax,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER13,0112,10011,20.67,33.65,54.48,31.32,43.27,72.12,35.0,51.0,77.36,New Brunswick,New Brunswick,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER1320,0112,10011,20.67,33.65,54.48,38.46,44.71,76.92,35.0,51.0,77.36,New Brunswick,Moncton--Richibucto,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER24,0112,10011,21.1,38.46,56.73,25.71,50.0,76.92,36.06,57.69,79.92,Quebec,Quebec,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER2420,0112,10011,21.1,38.46,56.73,25.71,50.0,76.92,40.3,57.69,74.18,Quebec,Capitale-Nationale,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER2445,0112,10011,21.1,38.46,56.73,25.71,50.0,76.92,42.69,52.88,74.18,Quebec,Laval,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER2450,0112,10011,21.1,38.46,56.73,25.71,50.0,76.92,36.06,57.69,79.92,Quebec,Lanaudière,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER2455,0112,10011,21.1,38.46,56.73,25.71,50.0,76.92,36.06,57.69,79.92,Quebec,Laurentides,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER2460,0112,10011,21.1,38.46,56.73,25.71,50.0,76.92,38.11,55.38,70.77,Quebec,Outaouais,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER2465,0112,10011,21.1,38.46,56.73,25.71,50.0,76.92,36.06,57.69,79.92,Quebec,Abitibi-Témiscamingue,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER2475,0112,10011,21.1,38.46,56.73,25.71,50.0,76.92,40.0,54.95,87.18,Quebec,Saguenay--Lac-Saint-Jean,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER35,0112,10011,23.08,40.87,67.31,26.07,45.67,69.4,38.0,56.41,87.18,Ontario,Ontario,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER3520,0112,10011,23.08,40.87,67.31,26.07,45.67,69.4,38.0,56.41,87.18,Ontario,Muskoka--Kawarthas,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER3530,0112,10011,21.98,38.46,69.67,24.04,44.1,70.19,41.03,59.0,92.55,Ontario,Toronto,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER3540,0112,10011,24.97,40.87,69.23,28.0,41.35,69.23,38.0,56.41,87.18,Ontario,Kitchener--Waterloo--Barrie,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER3580,0112,10011,23.08,40.87,67.31,26.07,45.67,69.4,38.0,56.41,87.18,Ontario,Stratford--Bruce Peninsula,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER3590,0112,10011,23.08,40.87,67.31,27.5,50.96,62.02,38.85,50.43,84.13,Ontario,Northeast,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER46,0112,10011,19.23,35.58,49.23,21.15,42.86,62.5,35.0,53.33,76.92,Manitoba,Manitoba,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER4650,0112,10011,20.95,38.46,49.23,27.88,44.09,62.5,35.0,53.33,76.92,Manitoba,Winnipeg,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER48,0112,10011,27.88,46.15,78.02,33.65,55.29,79.33,34.19,56.25,93.75,Alberta,Alberta,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER4860,0112,10011,36.26,52.5,84.76,33.65,53.85,79.33,28.85,56.68,72.12,Alberta,Edmonton,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER4870,0112,10011,26.0,44.345,76.7,33.65,55.29,79.33,34.19,56.25,93.75,Alberta,Athabasca--Grande Prairie--Peace River,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER59,0112,10011,22.0,37.5,60.44,24.04,43.27,74.52,31.25,56.5,79.33,British Columbia,British Columbia,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER5910,0112,10011,22.0,37.5,60.44,34.85,46.1,65.13,36.06,53.3,78.03,British Columbia,Vancouver Island and Coast,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER5920,0112,10011,21.48,38.0,61.03,24.04,43.27,74.52,29.81,58.17,82.86,British Columbia,Lower Mainland,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER5930,0112,10011,22.0,37.5,60.44,24.04,43.27,74.52,45.19,55.2,74.79,British Columbia,Thompson--Okanagan,human resources managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER00,0113,10012,21.63,40.11,57.69,20.59,48.08,76.92,38.46,55.9,85.71,National,Canada,purchasing managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER24,0113,10012,21.63,38.46,57.69,15.82,40.11,60.1,38.46,57.69,80.77,Quebec,Quebec,purchasing managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER2435,0113,10012,21.63,38.46,57.69,15.82,40.11,60.1,35.1,52.88,77.5,Quebec,Montérégie,purchasing managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER2440,0113,10012,21.63,38.46,57.69,15.82,40.11,60.1,49.0,66.67,80.77,Quebec,Montréal,purchasing managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER2455,0113,10012,21.63,38.46,57.69,15.82,40.11,60.1,38.46,57.69,80.77,Quebec,Laurentides,purchasing managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER35,0113,10012,22.5,40.87,54.95,24.05,41.58,63.07,36.2,55.9,83.08,Ontario,Ontario,purchasing managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER3510,0113,10012,22.5,40.87,54.95,22.5,42.85,61.39,24.88,50.37,80.0,Ontario,Ottawa,purchasing managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER3530,0113,10012,18.36,40.87,54.95,26.46,41.86,65.62,38.46,59.83,86.54,Ontario,Toronto,purchasing managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER3540,0113,10012,22.5,40.87,54.95,26.46,42.33,58.14,36.2,55.9,83.08,Ontario,Kitchener--Waterloo--Barrie,purchasing managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER3550,0113,10012,22.5,40.87,54.95,24.53,41.04,65.67,36.2,55.9,83.08,Ontario,Hamilton--Niagara Peninsula,purchasing managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER3560,0113,10012,22.5,40.87,54.95,24.05,41.58,63.07,36.2,55.9,83.08,Ontario,London,purchasing managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER3570,0113,10012,22.5,40.87,54.95,24.05,41.58,63.07,36.2,55.9,83.08,Ontario,Windsor--Sarnia,purchasing managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER48,0113,10012,24.0,38.46,55.56,27.5,55.29,86.54,38.46,54.63,105.77,Alberta,Alberta,purchasing managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER4830,0113,10012,24.0,38.46,55.56,27.5,52.66,86.54,28.52,55.24,85.01,Alberta,Calgary,purchasing managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER4860,0113,10012,24.0,38.46,55.56,27.5,55.29,86.54,30.0,48.08,96.15,Alberta,Edmonton,purchasing managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER4870,0113,10012,24.0,38.46,55.56,27.5,55.29,86.54,38.46,54.63,105.77,Alberta,Athabasca--Grande Prairie--Peace River,purchasing managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
ER59,0113,10012,22.15,36.21,52.88,20.19,40.43,64.9,40.0,57.69,90.87,British Columbia,British Columbia,purchasing managers,1,0,10,"1 - Business, finance and administration occupations",0 - Management occupations,Mid-management: admin/finance/communications
